hour,tree_index,node_id,depth,feature,feature_index,threshold,feature_type,days_back
4,3,2,1,dSocdt_h23_day_minus1,699,-0.135800004,dSocdt,1
4,4,0,0,dSocdt_h5_day_minus1,681,-0.371899992,dSocdt,1
4,4,1,1,dSocdt_h2_day_minus2,626,-11.1836004,dSocdt,2
4,4,2,1,dSocdt_h7_day_minus2,631,-2.32949996,dSocdt,2
4,5,0,0,dSocdt_h2_day_minus1,678,-1.8211,dSocdt,1
4,5,1,1,Soc_h10_day_minus1,710,2.92840004,Soc,1
4,5,2,1,dSocdt_h2_day_minus2,626,-11.1836004,dSocdt,2
4,6,0,0,dSocdt_h5_day_minus1,681,-0.784500003,dSocdt,1
4,6,1,1,dSocdt_h2_day_minus2,626,-11.1836004,dSocdt,2
4,6,2,1,dSocdt_h11_day_minus1,687,-3.73569989,dSocdt,1
4,7,0,0,dSocdt_h21_day_minus1,697,-1.14429998,dSocdt,1
4,7,1,1,Soc_h10_day_minus1,710,2.92840004,Soc,1
4,7,2,1,day_day_minus1,725,24.0,Date,1
4,8,0,0,dSocdt_h2_day_minus1,678,-1.8211,dSocdt,1
4,8,1,1,Soc_h10_day_minus1,710,2.92840004,Soc,1
4,8,2,1,dSocdt_h2_day_minus2,626,-11.1836004,dSocdt,2
4,9,0,0,dSocdt_h5_day_minus1,681,-0.784500003,dSocdt,1
4,9,1,1,Soc_h10_day_minus1,710,2.92840004,Soc,1
4,9,2,1,dSocdt_h6_day_minus2,630,-0.135800004,dSocdt,2
4,10,0,0,day_day_minus1,725,27.0,Date,1
4,10,1,1,Soc_h10_day_minus1,710,2.92840004,Soc,1
4,10,2,1,dSocdt_h10_day_minus3,582,-5.88880014,dSocdt,3
4,11,0,0,dSocdt_h21_day_minus1,697,-1.14429998,dSocdt,1
4,11,1,1,Soc_h10_day_minus1,710,2.92840004,Soc,1
4,11,2,1,dSocdt_h19_day_minus1,695,-2.15300012,dSocdt,1
4,12,0,0,dSocdt_h2_day_minus1,678,-1.83790004,dSocdt,1
